,CQGA-HEFT,HEFT,HTSTC,QL-HEFT
1.5,1365,1381,1594,1382
1.5,1469,1469,1799,1474
1.5,1168,1204,1415,1185
1.5,1638,1649,2050,1638
1.5,1397,1422,1634,1419
1.5,1348,1348,1699,1353
1.5,1423,1428,1901,1425
1.5,1447,1447,1801,1448
1.5,1269,1269,1496,1269
1.5,1179,1189,1478,1179
1.5,1248,1263,1480,1248
1.5,1323,1342,1541,1329
1.5,1140,1174,1309,1167
1.5,1592,1635,2002,1592
1.5,1157,1165,1432,1168
1.5,1228,1242,1548,1234
1.5,1648,1688,2035,1648
1.5,1250,1250,1667,1250
1.5,1166,1166,1446,1166
1.5,1278,1285,1509,1278
1.5,1312,1327,1518,1319
1.5,1372,1373,1528,1372
1.5,1210,1252,1480,1231
1.5,1674,1719,2169,1674
1.5,958,980,1243,958
1.5,1321,1349,1541,1321
1.5,1400,1449,1785,1432
1.5,1336,1336,1755,1340
1.5,1178,1190,1363,1178
1.5,1275,1303,1595,1294
1.5,1285,1325,1460,1298
1.5,1208,1208,1571,1208
1.5,1353,1387,1617,1379
1.5,1229,1248,1507,1250
1.5,1318,1357,1566,1331
1.5,1425,1440,1737,1425
1.5,1097,1148,1473,1115
1.5,1030,1059,1359,1047
1.5,1282,1313,1493,1282
1.5,1381,1416,1660,1395
1.5,970,976,1182,995
1.5,951,966,1132,967
1.5,1182,1218,1379,1189
1.5,1087,1131,1413,1111
1.5,1106,1139,1427,1140
1.5,1200,1228,1456,1200
1.5,941,949,1380,954
1.5,1158,1172,1480,1158
1.5,1192,1206,1420,1192
1.5,1293,1307,1490,1294
3.0,1369,1378,1603,1386
3.0,1495,1497,1814,1513
3.0,1183,1201,1418,1194
3.0,1638,1654,2051,1658
3.0,1412,1441,1634,1432
3.0,1363,1385,1699,1383
3.0,1430,1458,1911,1453
3.0,1453,1471,1801,1465
3.0,1269,1292,1510,1290
3.0,1179,1219,1498,1207
3.0,1252,1263,1483,1261
3.0,1323,1337,1561,1350
3.0,1162,1184,1326,1179
3.0,1592,1625,2008,1609
3.0,1166,1188,1460,1196
3.0,1249,1261,1548,1270
3.0,1648,1693,2053,1670
3.0,1264,1261,1667,1282
3.0,1188,1185,1457,1195
3.0,1278,1287,1519,1278
3.0,1312,1329,1536,1346
3.0,1372,1402,1531,1395
3.0,1222,1282,1498,1267
3.0,1674,1731,2176,1679
3.0,963,1000,1261,980
3.0,1333,1370,1549,1343
3.0,1400,1467,1785,1433
3.0,1344,1346,1755,1350
3.0,1178,1197,1381,1197
3.0,1275,1321,1614,1304
3.0,1285,1343,1469,1315
3.0,1208,1250,1591,1237
3.0,1353,1403,1620,1381
3.0,1226,1243,1517,1250
3.0,1334,1352,1583,1354
3.0,1428,1463,1737,1440
3.0,1097,1177,1473,1133
3.0,1030,1066,1359,1065
3.0,1282,1342,1493,1312
3.0,1378,1432,1660,1406
3.0,964,1001,1182,995
3.0,953,989,1132,969
3.0,1169,1249,1379,1206
3.0,1075,1152,1413,1146
3.0,1103,1162,1427,1140
3.0,1200,1251,1460,1207
3.0,939,959,1380,972
3.0,1158,1196,1480,1171
3.0,1201,1233,1420,1224
3.0,1293,1343,1490,1326
6.0,1463,1442,1631,1444
6.0,1597,1574,1844,1574
6.0,1234,1253,1453,1261
6.0,1688,1725,2078,1706
6.0,1452,1496,1634,1515
6.0,1450,1446,1703,1430
6.0,1488,1523,1926,1544
6.0,1520,1540,1803,1516
6.0,1314,1360,1560,1337
6.0,1217,1281,1537,1274
6.0,1304,1334,1553,1346
6.0,1393,1400,1603,1409
6.0,1271,1234,1371,1236
6.0,1592,1646,2041,1654
6.0,1204,1225,1502,1242
6.0,1304,1337,1582,1370
6.0,1710,1737,2092,1730
6.0,1380,1324,1685,1336
6.0,1241,1248,1467,1274
6.0,1297,1350,1545,1346
6.0,1354,1414,1572,1418
6.0,1433,1446,1574,1452
6.0,1270,1326,1548,1320
6.0,1715,1772,2209,1759
6.0,1016,1067,1288,1067
6.0,1352,1467,1590,1416
6.0,1484,1490,1813,1491
6.0,1427,1430,1755,1419
6.0,1209,1273,1407,1263
6.0,1321,1351,1653,1347
6.0,1296,1383,1502,1368
6.0,1258,1322,1624,1298
6.0,1372,1462,1645,1440
6.0,1274,1300,1538,1320
6.0,1397,1452,1623,1431
6.0,1485,1526,1737,1520
6.0,1136,1230,1488,1193
6.0,1087,1131,1367,1162
6.0,1325,1381,1541,1388
6.0,1423,1447,1682,1445
6.0,1008,1081,1205,1040
6.0,1014,1050,1138,1050
6.0,1171,1323,1398,1254
6.0,1143,1184,1413,1209
6.0,1181,1189,1458,1201
6.0,1200,1314,1484,1280
6.0,1027,1010,1395,1041
6.0,1187,1237,1500,1218
6.0,1251,1276,1445,1270
6.0,1315,1394,1510,1366
12.0,1616,1574,1704,1585
12.0,1735,1664,1904,1676
12.0,1304,1387,1561,1418
12.0,1778,1802,2144,1836
12.0,1624,1600,1698,1631
12.0,1517,1565,1801,1510
12.0,1747,1707,1981,1659
12.0,1603,1647,1857,1645
12.0,1369,1464,1627,1464
12.0,1402,1389,1615,1378
12.0,1477,1416,1649,1470
12.0,1587,1467,1678,1555
12.0,1441,1385,1425,1413
12.0,1690,1738,2110,1766
12.0,1413,1368,1586,1370
12.0,1459,1435,1643,1439
12.0,1882,1855,2191,1884
12.0,1591,1440,1757,1447
12.0,1452,1442,1535,1438
12.0,1434,1416,1609,1415
12.0,1527,1487,1693,1523
12.0,1519,1537,1641,1588
12.0,1383,1443,1615,1470
12.0,1758,1853,2282,1872
12.0,1247,1192,1384,1200
12.0,1564,1574,1699,1567
12.0,1562,1649,1925,1618
12.0,1608,1659,1848,1553
12.0,1384,1389,1460,1413
12.0,1490,1409,1737,1467
12.0,1396,1451,1574,1534
12.0,1426,1470,1690,1402
12.0,1458,1588,1707,1531
12.0,1451,1414,1622,1486
12.0,1581,1553,1683,1532
12.0,1515,1667,1859,1676
12.0,1338,1407,1600,1316
12.0,1238,1211,1429,1269
12.0,1490,1482,1624,1580
12.0,1498,1550,1766,1546
12.0,1167,1128,1287,1159
12.0,1166,1176,1250,1195
12.0,1369,1460,1483,1379
12.0,1335,1273,1478,1336
12.0,1394,1321,1517,1350
12.0,1333,1407,1532,1400
12.0,1208,1133,1507,1179
12.0,1245,1331,1554,1352
12.0,1405,1402,1513,1400
12.0,1437,1526,1595,1466
24.0,1785,1819,1853,1757
24.0,1865,1857,1966,1876
24.0,1644,1643,1746,1672
24.0,2003,1929,2279,1942
24.0,1863,1736,1825,1869
24.0,1764,1669,1897,1695
24.0,1880,1857,2109,1898
24.0,1801,1800,1968,1925
24.0,1584,1503,1702,1684
24.0,1647,1592,1726,1626
24.0,1611,1578,1768,1638
24.0,1744,1590,1799,1751
24.0,1650,1573,1596,1661
24.0,1892,1832,2242,2019
24.0,1602,1509,1754,1609
24.0,1620,1597,1742,1723
24.0,2056,2004,2306,2116
24.0,1684,1668,1869,1746
24.0,1619,1631,1668,1625
24.0,1576,1584,1746,1647
24.0,1652,1621,1728,1756
24.0,1734,1693,1742,1754
24.0,1696,1635,1783,1765
24.0,2038,1947,2453,2080
24.0,1394,1401,1500,1354
24.0,1700,1754,1831,1755
24.0,1876,1779,2018,1904
24.0,1714,1760,1988,1794
24.0,1509,1427,1563,1396
24.0,1552,1575,1940,1695
24.0,1673,1629,1698,1778
24.0,1566,1665,1771,1606
24.0,1673,1729,1882,1739
24.0,1867,1710,1760,1735
24.0,1650,1801,1851,1742
24.0,1680,1833,1959,1861
24.0,1494,1585,1708,1599
24.0,1363,1347,1538,1500
24.0,1542,1690,1768,1820
24.0,1643,1723,1910,1774
24.0,1387,1308,1438,1458
24.0,1304,1301,1383,1391
24.0,1469,1711,1691,1661
24.0,1375,1364,1658,1513
24.0,1409,1486,1690,1544
24.0,1470,1590,1678,1609
24.0,1609,1298,1601,1430
24.0,1462,1578,1666,1624
24.0,1507,1592,1692,1604
24.0,1667,1679,1712,1705
